   W         M1+(pi+_n)
 (MeV)      Re         Im
 1792.0   -0.45980   -0.10003
 1793.0   -0.45913   -0.09803
 1794.0   -0.45713   -0.09703
 1795.0   -0.45646   -0.09503
 1796.0   -0.45446   -0.09303
 1797.0   -0.45279   -0.09103
 1798.0   -0.45079   -0.08902
 1799.0   -0.44913   -0.08702
 1800.0   -0.44712   -0.08502
 1801.0   -0.44646   -0.08369
 1802.0   -0.44446   -0.08169
 1803.0   -0.44279   -0.07969
 1804.0   -0.44079   -0.07769
 1805.0   -0.43912   -0.07669
 1806.0   -0.43846   -0.07469
 1807.0   -0.43646   -0.07269
 1808.0   -0.43579   -0.07135
 1809.0   -0.43412   -0.06935
 1810.0   -0.43212   -0.06735
 1811.0   -0.43145   -0.06635
 1812.0   -0.42979   -0.06435
 1813.0   -0.42879   -0.06202
 1814.0   -0.42712   -0.06102
 1815.0   -0.42545   -0.05902
 1816.0   -0.42479   -0.05702
 1817.0   -0.42278   -0.05602
 1818.0   -0.42212   -0.05368
 1819.0   -0.42045   -0.05168
 1820.0   -0.41878   -0.05068
 1821.0   -0.41812   -0.04868
 1822.0   -0.41612   -0.04768
 1823.0   -0.41545   -0.04535
 1824.0   -0.41478   -0.04335
 1825.0   -0.41312   -0.04235
 1826.0   -0.41245   -0.04034
 1827.0   -0.41078   -0.03901
 1828.0   -0.41011   -0.03701
 1829.0   -0.40845   -0.03601
 1830.0   -0.40678   -0.03401
 1831.0   -0.40611   -0.03268
 1832.0   -0.40445   -0.03068
 1833.0   -0.40378   -0.02967
 1834.0   -0.40211   -0.02767
 1835.0   -0.40145   -0.02534
 1836.0   -0.40078   -0.02434
 1837.0   -0.39911   -0.02234
 1838.0   -0.39844   -0.02134
 1839.0   -0.39778   -0.01901
 1840.0   -0.39711   -0.01801
 1841.0   -0.39544   -0.01700
 1842.0   -0.39478   -0.01467
 1843.0   -0.39411   -0.01267
 1844.0   -0.39244   -0.01167
 1845.0   -0.39178   -0.00967
 1846.0   -0.39011   -0.00834
 1847.0   -0.38944   -0.00634
 1848.0   -0.38778   -0.00533
 1849.0   -0.38711   -0.00433
 1850.0   -0.38544   -0.00200
 1851.0   -0.38377   -0.00100
 1852.0   -0.38344    0.00100
 1853.0   -0.38277    0.00233
 1854.0   -0.38111    0.00333
 1855.0   -0.38044    0.00533
 1856.0   -0.37977    0.00634
 1857.0   -0.37811    0.00867
 1858.0   -0.37744    0.00967
 1859.0   -0.37677    0.01067
 1860.0   -0.37544    0.01300
 1861.0   -0.37477    0.01400
 1862.0   -0.37410    0.01600
