   W         E1+(pi0_p)
 (MeV)      Re      Im
 1747.0    0.034   0.535
 1748.0    0.030   0.534
 1749.0    0.026   0.533
 1750.0    0.022   0.532
 1751.0    0.018   0.530
 1752.0    0.014   0.529
 1753.0    0.010   0.527
 1754.0    0.007   0.525
 1755.0    0.003   0.524
 1756.0   -0.001   0.522
 1757.0   -0.004   0.520
 1758.0   -0.008   0.519
 1759.0   -0.012   0.517
 1760.0   -0.015   0.515
 1761.0   -0.019   0.513
 1762.0   -0.022   0.511
 1763.0   -0.025   0.509
 1764.0   -0.029   0.507
 1765.0   -0.032   0.505
 1766.0   -0.035   0.502
 1767.0   -0.038   0.500
 1768.0   -0.041   0.498
 1769.0   -0.045   0.496
 1770.0   -0.048   0.493
 1771.0   -0.050   0.491
 1772.0   -0.053   0.489
 1773.0   -0.056   0.486
 1774.0   -0.059   0.484
 1775.0   -0.062   0.481
 1776.0   -0.065   0.479
 1777.0   -0.067   0.476
 1778.0   -0.070   0.474
 1779.0   -0.072   0.471
 1780.0   -0.075   0.469
 1781.0   -0.077   0.466
 1782.0   -0.080   0.463
 1783.0   -0.082   0.461
 1784.0   -0.084   0.458
 1785.0   -0.087   0.456
 1786.0   -0.089   0.453
 1787.0   -0.091   0.450
 1788.0   -0.093   0.447
 1789.0   -0.095   0.445
 1790.0   -0.097   0.442
 1791.0   -0.099   0.439
 1792.0   -0.101   0.437
 1793.0   -0.103   0.434
 1794.0   -0.105   0.431
 1795.0   -0.107   0.428
 1796.0   -0.109   0.426
 1797.0   -0.110   0.423
 1798.0   -0.112   0.420
 1799.0   -0.114   0.417
 1800.0   -0.115   0.415
 1801.0   -0.117   0.412
 1802.0   -0.118   0.409
 1803.0   -0.120   0.406
 1804.0   -0.121   0.403
 1805.0   -0.123   0.401
 1806.0   -0.124   0.398
 1807.0   -0.125   0.395
 1808.0   -0.127   0.392
 1809.0   -0.128   0.389
 1810.0   -0.129   0.387
 1811.0   -0.130   0.384
 1812.0   -0.131   0.381
 1813.0   -0.132   0.378
 1814.0   -0.133   0.376
 1815.0   -0.134   0.373
 1816.0   -0.135   0.370
 1817.0   -0.136   0.367
 1818.0   -0.137   0.365
