   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1828.623   -0.341    0.034    0.198    0.029
1831.643   -0.335    0.033    0.193    0.029
1834.637   -0.336    0.034    0.193    0.029
1838.336   -0.332    0.042    0.078    0.036
1841.997   -0.326    0.039    0.073    0.034
1844.898   -0.322    0.040    0.073    0.034
1847.754   -0.134    0.030    0.018    0.024
1852.035   -0.147    0.038    0.032    0.031
1854.976   -0.148    0.040    0.031    0.034
1858.008   -0.142    0.041    0.027    0.036
1861.147   -0.134    0.042    0.028    0.038
1864.365   -0.143    0.045    0.045    0.038
1869.276   -0.150    0.030    0.101    0.031
1872.541   -0.139    0.032    0.080    0.033
1875.750   -0.065    0.033    0.070    0.037
1878.864   -0.064    0.030    0.091    0.027
1887.394    0.038    0.036    0.034    0.034
1889.902    0.036    0.038    0.060    0.040
1894.385    0.105    0.027   -0.027    0.019
