E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
107.460    24.651800     0.071500     0.308113
103.490    25.195000     0.072200     0.314930
 99.590    25.592500     0.072400     0.319910
 95.740    26.004100     0.073000     0.325002
 91.910    26.174300     0.072800     0.327199
 88.090    25.980700     0.071700     0.324780
 84.260    26.024400     0.071700     0.325292
 80.410    25.702800     0.070700     0.321314
 76.510    25.194300     0.069600     0.314900
 72.540    24.736500     0.068800     0.309239
 68.490    24.178100     0.067900     0.302267
 64.320    23.321800     0.066200     0.291579
 60.000    22.395900     0.064900     0.279976
 55.480    21.319100     0.063300     0.266485
 50.700    20.068100     0.062000     0.250852
 45.570    18.458200     0.060400     0.230725
 39.940    16.743400     0.059800     0.209326
 33.560    14.973300     0.060800     0.187173
 25.840    12.925500     0.064100     0.161548
 14.840    10.503800     0.078400     0.131270
----------------------------------------------------------
E =  300.560 MeV, E_lo =  298.390 MeV, E_hi =  302.740 MeV
Systematic = 0.2737, Preliminary = 0, CBMAMI_2014_Prakhov
165.160    11.350000     0.053000     0.141820
154.160    13.611300     0.055600     0.170146
146.440    15.625700     0.058200     0.195313
140.060    17.281200     0.060500     0.215987
134.430    18.782700     0.062600     0.234798
129.300    20.571700     0.065600     0.257165
124.520    22.018900     0.067800     0.275273
120.000    23.392900     0.070000     0.292439
115.680    24.423600     0.071500     0.305340
111.510    25.408200     0.073000     0.317619
107.460    26.072800     0.073800     0.325950
103.490    26.630500     0.074500     0.332865
 99.590    26.972200     0.074600     0.337145
 95.740    27.320300     0.074900     0.341482
 91.910    27.609600     0.075100     0.345123
 88.090    27.413300     0.074000     0.342702
 84.260    27.431500     0.073900     0.342928
 80.410    27.130700     0.073000     0.339132
 76.510    26.728000     0.072100     0.334109
 72.540    26.177100     0.071100     0.327163
 68.490    25.429500     0.069900     0.317906
 64.320    24.595500     0.068500     0.307462
 60.000    23.670000     0.067100     0.295887
 55.480    22.507600     0.065500     0.281377
 50.700    21.252800     0.064400     0.265604
 45.570    19.581200     0.062800     0.244772
 39.940    17.703600     0.062200     0.221326
 33.560    15.691300     0.063100     0.196098
 25.840    13.602500     0.067000     0.170079
 14.840    10.905500     0.081400     0.136351
