!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
8   0.3637    3.64102e-01   3.35271e-02
9   0.5455    3.67736e-01   3.92098e-02
10  0.7273    3.05479e-01   4.97429e-02
11  0.9091    1.19303e-01   7.68541e-02
!--------------------------------------------------------#031
! Tagger channel 261, Eg=260.01+/-1.22, W=1169.74+/-0.98 MeV, Pol=0.1890
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.66548e-01   3.92885e-02
2  -0.7273    2.89910e-01   3.29147e-02
3  -0.5455    3.16282e-01   2.93645e-02
4  -0.3637    4.31124e-01   2.71693e-02
5  -0.1819    3.88753e-01   2.69204e-02
6   0.0000    4.44787e-01   2.73080e-02
7   0.1819    4.18663e-01   2.76187e-02
8   0.3637    3.90709e-01   2.91996e-02
9   0.5455    3.07660e-01   3.33985e-02
10  0.7273    3.23330e-01   4.23701e-02
11  0.9091    2.57037e-01   6.48083e-02
!--------------------------------------------------------#032
! Tagger channel 260, Eg=262.44+/-1.23, W=1171.68+/-0.99 MeV, Pol=0.1953
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.73560e-01   6.64150e-02
2  -0.7273    2.51393e-01   5.45121e-02
3  -0.5455    3.12042e-01   4.84935e-02
4  -0.3637    3.61274e-01   4.51724e-02
5  -0.1819    3.47720e-01   4.49702e-02
6   0.0000    5.04689e-01   4.55723e-02
7   0.1819    3.63947e-01   4.58535e-02
8   0.3637    3.62465e-01   4.91492e-02
9   0.5455    3.75596e-01   5.52583e-02
10  0.7273    3.18502e-01   6.97924e-02
11  0.9091    2.69265e-01   1.15653e-01
!--------------------------------------------------------#033
! Tagger channel 259, Eg=264.94+/-1.24, W=1173.68+/-0.99 MeV, Pol=0.2022
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.20281e-01   3.34265e-02
2  -0.7273    2.26712e-01   2.81353e-02
3  -0.5455    3.29598e-01   2.50338e-02
4  -0.3637    3.53858e-01   2.25764e-02
5  -0.1819    3.94713e-01   2.27235e-02
6   0.0000    3.84194e-01   2.28822e-02
7   0.1819    4.27990e-01   2.34842e-02
8   0.3637    3.65035e-01   2.48923e-02
9   0.5455    3.29173e-01   2.78477e-02
10  0.7273    3.81210e-01   3.59443e-02
11  0.9091    2.24201e-01   5.78893e-02
!--------------------------------------------------------#034
! Tagger channel 258, Eg=267.41+/-1.24, W=1175.65+/-0.99 MeV, Pol=0.2086
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.86392e-01   3.27090e-02
2  -0.7273    2.73306e-01   2.74788e-02
3  -0.5455    3.19055e-01   2.42052e-02
4  -0.3637    4.03941e-01   2.18259e-02
5  -0.1819    3.90593e-01   2.18518e-02
6   0.0000    3.97407e-01   2.22387e-02
7   0.1819    4.24862e-01   2.26708e-02
8   0.3637    3.88097e-01   2.40179e-02
9   0.5455    3.54936e-01   2.72001e-02
10  0.7273    3.28700e-01   3.46349e-02
11  0.9091    2.03723e-01   5.77325e-02
!--------------------------------------------------------#035
! Tagger channel 257, Eg=269.89+/-1.24, W=1177.63+/-0.99 MeV, Pol=0.2152
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.29069e-01   3.08779e-02
2  -0.7273    2.37120e-01   2.56422e-02
3  -0.5455    3.36548e-01   2.28641e-02
4  -0.3637    4.14638e-01   2.03712e-02
5  -0.1819    4.34046e-01   2.05452e-02
6   0.0000    4.11458e-01   2.10913e-02
7   0.1819    3.97593e-01   2.10311e-02
8   0.3637    4.16428e-01   2.21198e-02
9   0.5455    3.12884e-01   2.51886e-02
10  0.7273    2.94228e-01   3.26126e-02
11  0.9091    8.05342e-02   5.15902e-02
!--------------------------------------------------------#036
