   W         E3-(pi+_n)
 (MeV)      Re      Im
 1884.0   -0.038   0.175
 1885.0   -0.034   0.173
 1886.0   -0.031   0.171
 1887.0   -0.028   0.169
 1888.0   -0.025   0.167
 1889.0   -0.021   0.165
 1890.0   -0.018   0.164
 1891.0   -0.015   0.162
 1892.0   -0.012   0.160
 1893.0   -0.009   0.158
 1894.0   -0.006   0.157
 1895.0   -0.003   0.155
 1896.0    0.001   0.154
 1897.0    0.004   0.152
 1898.0    0.007   0.150
 1899.0    0.010   0.149
 1900.0    0.013   0.147
 1901.0    0.016   0.146
 1902.0    0.019   0.145
 1903.0    0.022   0.143
 1904.0    0.025   0.142
 1905.0    0.028   0.140
 1906.0    0.030   0.139
 1907.0    0.033   0.138
 1908.0    0.036   0.136
 1909.0    0.039   0.135
 1910.0    0.042   0.134
 1911.0    0.045   0.133
 1912.0    0.048   0.132
 1913.0    0.050   0.130
 1914.0    0.053   0.129
 1915.0    0.056   0.128
 1916.0    0.059   0.127
 1917.0    0.061   0.126
 1918.0    0.064   0.125
 1919.0    0.067   0.124
 1920.0    0.069   0.123
 1921.0    0.072   0.122
 1922.0    0.075   0.121
 1923.0    0.077   0.120
 1924.0    0.080   0.119
 1925.0    0.082   0.118
 1926.0    0.085   0.117
 1927.0    0.088   0.116
 1928.0    0.090   0.116
 1929.0    0.093   0.115
 1930.0    0.095   0.114
 1931.0    0.098   0.113
 1932.0    0.100   0.112
 1933.0    0.102   0.112
 1934.0    0.105   0.111
 1935.0    0.107   0.110
 1936.0    0.110   0.110
 1937.0    0.112   0.109
 1938.0    0.114   0.108
 1939.0    0.117   0.108
 1940.0    0.119   0.107
 1941.0    0.121   0.106
 1942.0    0.124   0.106
 1943.0    0.126   0.105
 1944.0    0.128   0.104
 1945.0    0.131   0.104
 1946.0    0.133   0.103
 1947.0    0.135   0.103
 1948.0    0.137   0.102
 1949.0    0.139   0.101
 1950.0    0.142   0.101
 1951.0    0.144   0.100
 1952.0    0.146   0.100
 1953.0    0.148   0.099
 1954.0    0.150   0.099
 1955.0    0.152   0.098
 1956.0    0.154   0.098
 1957.0    0.156   0.098
 1958.0    0.158   0.097
 1959.0    0.161   0.097
 1960.0    0.163   0.096
 1961.0    0.165   0.096
 1962.0    0.167   0.095
 1963.0    0.169   0.095
 1964.0    0.170   0.095
 1965.0    0.172   0.094
 1966.0    0.174   0.094
 1967.0    0.176   0.093
 1968.0    0.178   0.093
 1969.0    0.180   0.093
 1970.0    0.182   0.092
 1971.0    0.184   0.092
