   W          E2-(pi+_n)
 (MeV)       Re        Im
 1787.00   -1.32579   1.39985
 1788.00   -1.32601   1.39012
 1789.00   -1.32622   1.38046
 1790.00   -1.32640   1.37087
 1791.00   -1.32657   1.36135
 1792.00   -1.32671   1.35189
 1793.00   -1.32684   1.34249
 1794.00   -1.32695   1.33316
 1795.00   -1.32704   1.32389
 1796.00   -1.32711   1.31469
 1797.00   -1.32717   1.30555
 1798.00   -1.32722   1.29647
 1799.00   -1.32725   1.28746
 1800.00   -1.32726   1.27851
 1801.00   -1.32727   1.26962
 1802.00   -1.32725   1.26079
 1803.00   -1.32723   1.25202
 1804.00   -1.32720   1.24332
 1805.00   -1.32715   1.23467
 1806.00   -1.32709   1.22609
 1807.00   -1.32703   1.21756
 1808.00   -1.32695   1.20909
 1809.00   -1.32687   1.20068
 1810.00   -1.32677   1.19233
 1811.00   -1.32667   1.18404
 1812.00   -1.32656   1.17581
 1813.00   -1.32645   1.16763
 1814.00   -1.32632   1.15951
 1815.00   -1.32620   1.15144
 1816.00   -1.32606   1.14343
 1817.00   -1.32592   1.13548
 1818.00   -1.32578   1.12758
 1819.00   -1.32563   1.11973
 1820.00   -1.32547   1.11194
 1821.00   -1.32532   1.10421
 1822.00   -1.32516   1.09652
 1823.00   -1.32499   1.08889
 1824.00   -1.32483   1.08131
 1825.00   -1.32466   1.07379
 1826.00   -1.32449   1.06631
 1827.00   -1.32432   1.05889
 1828.00   -1.32414   1.05151
 1829.00   -1.32397   1.04419
 1830.00   -1.32380   1.03692
 1831.00   -1.32362   1.02969
 1832.00   -1.32345   1.02252
 1833.00   -1.32328   1.01539
 1834.00   -1.32310   1.00831
 1835.00   -1.32293   1.00128
 1836.00   -1.32276   0.99430
 1837.00   -1.32259   0.98736
 1838.00   -1.32242   0.98047
 1839.00   -1.32226   0.97363
 1840.00   -1.32209   0.96683
 1841.00   -1.32193   0.96008
 1842.00   -1.32178   0.95337
 1843.00   -1.32162   0.94671
 1844.00   -1.32147   0.94009
 1845.00   -1.32132   0.93352
 1846.00   -1.32117   0.92698
 1847.00   -1.32103   0.92050
 1848.00   -1.32090   0.91405
