   W         E6-(pi+_n)
 (MeV)      Re         Im
 1705.0    0.074805  -0.004371
 1706.0    0.074788  -0.004367
 1707.0    0.074771  -0.004363
 1708.0    0.074754  -0.004359
 1709.0    0.074737  -0.004355
 1710.0    0.074720  -0.004351
 1711.0    0.074702  -0.004346
 1712.0    0.074685  -0.004342
 1713.0    0.074667  -0.004337
 1714.0    0.074649  -0.004333
 1715.0    0.074632  -0.004328
 1716.0    0.074614  -0.004323
 1717.0    0.074596  -0.004318
 1718.0    0.074578  -0.004314
 1719.0    0.074560  -0.004309
 1720.0    0.074542  -0.004304
 1721.0    0.074523  -0.004299
 1722.0    0.074505  -0.004293
 1723.0    0.074486  -0.004288
 1724.0    0.074468  -0.004283
 1725.0    0.074449  -0.004277
 1726.0    0.074431  -0.004272
 1727.0    0.074412  -0.004266
 1728.0    0.074393  -0.004260
 1729.0    0.074374  -0.004255
 1730.0    0.074355  -0.004249
 1731.0    0.074336  -0.004243
 1732.0    0.074317  -0.004237
 1733.0    0.074297  -0.004231
 1734.0    0.074278  -0.004225
 1735.0    0.074259  -0.004219
 1736.0    0.074239  -0.004212
 1737.0    0.074219  -0.004205
 1738.0    0.074200  -0.004199
 1739.0    0.074180  -0.004192
 1740.0    0.074160  -0.004186
 1741.0    0.074140  -0.004179
 1742.0    0.074120  -0.004172
 1743.0    0.074100  -0.004165
 1744.0    0.074080  -0.004158
 1745.0    0.074060  -0.004151
 1746.0    0.074039  -0.004143
 1747.0    0.074019  -0.004136
 1748.0    0.073999  -0.004129
 1749.0    0.073978  -0.004121
 1750.0    0.073958  -0.004114
 1751.0    0.073937  -0.004106
 1752.0    0.073916  -0.004098
 1753.0    0.073895  -0.004090
 1754.0    0.073875  -0.004082
 1755.0    0.073854  -0.004074
 1756.0    0.073833  -0.004066
 1757.0    0.073812  -0.004057
 1758.0    0.073790  -0.004049
 1759.0    0.073769  -0.004041
 1760.0    0.073748  -0.004032
 1761.0    0.073727  -0.004023
 1762.0    0.073705  -0.004015
 1763.0    0.073684  -0.004006
 1764.0    0.073662  -0.003997
 1765.0    0.073641  -0.003988
 1766.0    0.073619  -0.003979
 1767.0    0.073597  -0.003969
 1768.0    0.073575  -0.003960
 1769.0    0.073554  -0.003951
 1770.0    0.073532  -0.003941
 1771.0    0.073510  -0.003931
 1772.0    0.073488  -0.003921
 1773.0    0.073466  -0.003912
 1774.0    0.073443  -0.003902
 1775.0    0.073421  -0.003892
 1776.0    0.073399  -0.003882
 1777.0    0.073376  -0.003871
 1778.0    0.073354  -0.003861
 1779.0    0.073332  -0.003850
 1780.0    0.073309  -0.003840
 1781.0    0.073286  -0.003829
 1782.0    0.073264  -0.003818
 1783.0    0.073241  -0.003807
 1784.0    0.073218  -0.003796
 1785.0    0.073196  -0.003786
 1786.0    0.073173  -0.003774
 1787.0    0.073150  -0.003763
 1788.0    0.073127  -0.003751
 1789.0    0.073104  -0.003740
 1790.0    0.073081  -0.003728
