   W         E3+(pi+_n)
 (MeV)      Re      Im
 1668.0    0.263   0.012
 1669.0    0.263   0.012
 1670.0    0.262   0.012
 1671.0    0.262   0.012
 1672.0    0.262   0.012
 1673.0    0.262   0.012
 1674.0    0.262   0.012
 1675.0    0.261   0.012
 1676.0    0.261   0.012
 1677.0    0.261   0.012
 1678.0    0.261   0.012
 1679.0    0.261   0.012
 1680.0    0.260   0.012
 1681.0    0.260   0.012
 1682.0    0.260   0.013
 1683.0    0.260   0.013
 1684.0    0.260   0.013
 1685.0    0.259   0.013
 1686.0    0.259   0.013
 1687.0    0.259   0.013
 1688.0    0.259   0.013
 1689.0    0.259   0.013
 1690.0    0.258   0.013
 1691.0    0.258   0.013
 1692.0    0.258   0.013
 1693.0    0.258   0.013
 1694.0    0.257   0.013
 1695.0    0.257   0.014
 1696.0    0.257   0.014
 1697.0    0.257   0.014
 1698.0    0.257   0.014
 1699.0    0.256   0.014
 1700.0    0.256   0.014
 1701.0    0.256   0.014
 1702.0    0.256   0.014
 1703.0    0.255   0.014
 1704.0    0.255   0.014
 1705.0    0.255   0.014
 1706.0    0.255   0.014
 1707.0    0.255   0.014
 1708.0    0.254   0.015
 1709.0    0.254   0.015
 1710.0    0.254   0.015
 1711.0    0.254   0.015
 1712.0    0.253   0.015
 1713.0    0.253   0.015
 1714.0    0.253   0.015
 1715.0    0.253   0.015
 1716.0    0.253   0.015
 1717.0    0.252   0.015
 1718.0    0.252   0.015
 1719.0    0.252   0.015
 1720.0    0.252   0.016
 1721.0    0.251   0.016
 1722.0    0.251   0.016
 1723.0    0.251   0.016
 1724.0    0.251   0.016
 1725.0    0.250   0.016
 1726.0    0.250   0.016
 1727.0    0.250   0.016
 1728.0    0.250   0.016
 1729.0    0.249   0.016
 1730.0    0.249   0.016
 1731.0    0.249   0.016
 1732.0    0.249   0.016
 1733.0    0.248   0.017
 1734.0    0.248   0.017
 1735.0    0.248   0.017
 1736.0    0.248   0.017
 1737.0    0.247   0.017
 1738.0    0.247   0.017
 1739.0    0.247   0.017
 1740.0    0.247   0.017
 1741.0    0.246   0.017
 1742.0    0.246   0.017
 1743.0    0.246   0.017
 1744.0    0.245   0.017
 1745.0    0.245   0.018
 1746.0    0.245   0.018
 1747.0    0.245   0.018
 1748.0    0.244   0.018
 1749.0    0.244   0.018
 1750.0    0.244   0.018
 1751.0    0.244   0.018
 1752.0    0.243   0.018
 1753.0    0.243   0.018
 1754.0    0.243   0.018
 1755.0    0.242   0.018
 1756.0    0.242   0.018
 1757.0    0.242   0.018
 1758.0    0.241   0.019
 1759.0    0.241   0.019
 1760.0    0.241   0.019
 1761.0    0.241   0.019
 1762.0    0.240   0.019
 1763.0    0.240   0.019
 1764.0    0.240   0.019
 1765.0    0.239   0.019
 1766.0    0.239   0.019
 1767.0    0.239   0.019
 1768.0    0.239   0.019
 1769.0    0.238   0.019
 1770.0    0.238   0.019
 1771.0    0.238   0.019
 1772.0    0.237   0.019
 1773.0    0.237   0.020
 1774.0    0.237   0.020
 1775.0    0.236   0.020
 1776.0    0.236   0.020
 1777.0    0.236   0.020
 1778.0    0.235   0.020
 1779.0    0.235   0.020
 1780.0    0.235   0.020
