-0.367 111.51 3.4569 0.0135 0.0219
-0.300 107.46 3.6202 0.0137 0.0227
-0.233 103.49 3.7439 0.0139 0.0233
-0.167  99.59 3.8523 0.0141 0.0239
-0.100  95.74 3.9255 0.0143 0.0243
-0.033  91.91 3.9517 0.0143 0.0244
 0.033  88.09 3.9327 0.0143 0.0243
 0.100  84.26 3.8942 0.0143 0.0241
 0.167  80.41 3.8159 0.0141 0.0237
 0.233  76.51 3.7101 0.0140 0.0232
 0.300  72.54 3.5731 0.0137 0.0225
 0.367  68.49 3.3951 0.0134 0.0216
 0.433  64.32 3.1768 0.0130 0.0205
 0.500  60.00 2.9992 0.0128 0.0197
 0.567  55.48 2.8300 0.0130 0.0192
 0.633  50.70 2.5696 0.0130 0.0183
 0.700  45.57 2.3312 0.0134 0.0177
 0.767  39.94 1.9795 0.0131 0.0164
 0.833  33.56 1.6427 0.0125 0.0149
 0.900  25.84 1.3042 0.0135 0.0150
 0.967  14.84 0.9245 0.0245 0.0249
TXS=36.697+/-0.032 ub

tag channel= 182, eff= 0.645340
tag channel= 183, eff= 0.640095
tag channel= 184, eff= 0.641274
tag channel= 185, eff= 0.646941
tag channel= 186, eff= 0.643325
tag channel= 187, eff= 0.647609
tag channel= 188, eff= 0.643271
wEmp 0.847981
wEmpa 0.222416
bin1=568, bin2=638, Emc1=0.767000, Emc2=0.838000
Eg=787.37-817.16 W=1535.5-1553.6
Eg=802.27+/-14.90  W=1544.59+/-9.05
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 1.9701 0.0143 0.0174
-0.900 154.16 2.1803 0.0116 0.0159
-0.833 146.44 2.3021 0.0114 0.0162
-0.767 140.06 2.4707 0.0118 0.0171
-0.700 134.43 2.5227 0.0121 0.0175
-0.633 129.30 2.5985 0.0121 0.0178
-0.567 124.52 2.7293 0.0122 0.0183
-0.500 120.00 2.8850 0.0123 0.0189
-0.433 115.68 3.0233 0.0124 0.0195
-0.367 111.51 3.1504 0.0126 0.0201
-0.300 107.46 3.2534 0.0126 0.0206
-0.233 103.49 3.3301 0.0127 0.0210
-0.167  99.59 3.3917 0.0128 0.0213
-0.100  95.74 3.4320 0.0129 0.0215
-0.033  91.91 3.4380 0.0129 0.0215
 0.033  88.09 3.3885 0.0128 0.0212
 0.100  84.26 3.3369 0.0128 0.0210
 0.167  80.41 3.2609 0.0126 0.0206
 0.233  76.51 3.1216 0.0124 0.0199
 0.300  72.54 2.9693 0.0121 0.0191
 0.367  68.49 2.8155 0.0119 0.0184
 0.433  64.32 2.6220 0.0116 0.0175
 0.500  60.00 2.4615 0.0116 0.0169
 0.567  55.48 2.2928 0.0117 0.0164
 0.633  50.70 2.0453 0.0117 0.0155
 0.700  45.57 1.8561 0.0120 0.0151
 0.767  39.94 1.6132 0.0118 0.0143
 0.833  33.56 1.3148 0.0109 0.0128
 0.900  25.84 1.0711 0.0123 0.0134
 0.967  14.84 0.7723 0.0229 0.0232
TXS=32.497+/-0.029 ub

tag channel= 175, eff= 0.647654
tag channel= 176, eff= 0.645651
tag channel= 177, eff= 0.646515
tag channel= 178, eff= 0.647929
tag channel= 179, eff= 0.642604
tag channel= 180, eff= 0.644931
tag channel= 181, eff= 0.646724
Eg=817.16-846.62 W=1553.6-1571.3
Eg=831.89+/-14.73  W=1562.48+/-8.84
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 2.0332 0.0146 0.0178
-0.900 154.16 2.2352 0.0117 0.0162
-0.833 146.44 2.3666 0.0115 0.0165
-0.767 140.06 2.4840 0.0118 0.0171
-0.700 134.43 2.4870 0.0120 0.0173
-0.633 129.30 2.4734 0.0119 0.0171
-0.567 124.52 2.4838 0.0116 0.0170
-0.500 120.00 2.5624 0.0115 0.0172
-0.433 115.68 2.6551 0.0115 0.0176
-0.367 111.51 2.7171 0.0115 0.0178
-0.300 107.46 2.7515 0.0114 0.0179
-0.233 103.49 2.8130 0.0115 0.0182
-0.167  99.59 2.8458 0.0116 0.0183
-0.100  95.74 2.8450 0.0115 0.0183
-0.033  91.91 2.8427 0.0115 0.0183
 0.033  88.09 2.7650 0.0113 0.0179
 0.100  84.26 2.6931 0.0113 0.0176
 0.167  80.41 2.5903 0.0110 0.0170
 0.233  76.51 2.4604 0.0108 0.0164
 0.300  72.54 2.3077 0.0106 0.0156
 0.367  68.49 2.1392 0.0104 0.0149
 0.433  64.32 1.9755 0.0102 0.0142
 0.500  60.00 1.8482 0.0102 0.0138
 0.567  55.48 1.7050 0.0104 0.0135
 0.633  50.70 1.5474 0.0104 0.0130
 0.700  45.57 1.4370 0.0108 0.0130
 0.767  39.94 1.2805 0.0106 0.0124
 0.833  33.56 1.0738 0.0099 0.0113
 0.900  25.84 0.8876 0.0114 0.0122
 0.967  14.84 0.6831 0.0225 0.0227
TXS=27.628+/-0.027 ub

tag channel= 168, eff= 0.651043
tag channel= 169, eff= 0.644294
tag channel= 170, eff= 0.648907
tag channel= 171, eff= 0.651023
tag channel= 172, eff= 0.650349
tag channel= 173, eff= 0.635000
tag channel= 174, eff= 0.635000
Eg=846.62-875.80 W=1571.3-1588.7
Eg=861.21+/-14.59  W=1579.99+/-8.67
cos  degrees  DXS  eDXS_stat  eDXS_tot
-0.967 165.16 2.0027 0.0170 0.0197
-0.900 154.16 2.2238 0.0136 0.0175
-0.833 146.44 2.3215 0.0132 0.0176
-0.767 140.06 2.4084 0.0134 0.0181
-0.700 134.43 2.4504 0.0139 0.0185
-0.633 129.30 2.3485 0.0135 0.0179
-0.567 124.52 2.2728 0.0129 0.0172
-0.500 120.00 2.2559 0.0125 0.0168
-0.433 115.68 2.3040 0.0124 0.0169
-0.367 111.51 2.3103 0.0122 0.0168
-0.300 107.46 2.3314 0.0121 0.0168
-0.233 103.49 2.3324 0.0120 0.0167
-0.167  99.59 2.3364 0.0120 0.0167
-0.100  95.74 2.2900 0.0118 0.0164
-0.033  91.91 2.2327 0.0116 0.0161
 0.033  88.09 2.1831 0.0115 0.0159
 0.100  84.26 2.0755 0.0113 0.0154
 0.167  80.41 2.0009 0.0112 0.0150
 0.233  76.51 1.8740 0.0110 0.0144
 0.300  72.54 1.7365 0.0108 0.0138
 0.367  68.49 1.5825 0.0105 0.0132
 0.433  64.32 1.4676 0.0105 0.0128
